Short SMA,Long SMA,CV Accuracy
10,45,0.6088752490025093
115,180,0.6084932312776765
30,155,0.6082896859162799
45,95,0.6078922690273453
30,100,0.607695041271734
35,90,0.6076940541458302
15,95,0.607493667587326
110,185,0.6070946712969453
10,70,0.6070946712969453
60,115,0.6068931001873565
95,180,0.6066978466835531
25,120,0.6061039917397304
10,30,0.6058941287725484
10,65,0.6057061800004343
20,130,0.6057061800004343
10,180,0.605611613338835
35,140,0.6055085573944614
15,85,0.605507965118919
20,200,0.6052124196232732
45,130,0.6051099559544422
75,140,0.6051052177501032
15,75,0.6049156895765427
10,185,0.6048171744113275
15,200,0.6046138264751115
85,185,0.6045147190343539
95,185,0.6043149247513924
100,190,0.604116709869877
60,135,0.6037167264535922
10,40,0.603512786241834
20,195,0.6034253268867431
80,145,0.603318125013573
100,175,0.6031218843838656
75,185,0.6024344499043476
30,80,0.6023317888103356
30,195,0.6022346556213859
15,190,0.6022336684954819
125,170,0.6021396941094249
110,190,0.6017326033866315
35,75,0.6015363627569241
25,115,0.601338147875409
25,100,0.6013379504502281
25,145,0.6013377530250473
35,125,0.6011379587420858
20,70,0.600941915537559
25,195,0.600844190073067
10,50,0.6007350139480889
20,190,0.6006451854908286
45,150,0.6005437089479015
20,100,0.6005427218219976
115,135,0.600537588767297
115,185,0.5997547979254562
40,110,0.5997474931937667
165,195,0.5997470983434053
65,135,0.5997439395405125
65,130,0.5997433472649703
40,95,0.5995510551388787
20,140,0.599549870587794
20,105,0.5993510634307363
35,85,0.5991540331003058
10,200,0.5990557153602714
10,80,0.5987568136365521
15,80,0.5987554316602866
110,195,0.5985643240852798
40,90,0.5985582039046753
40,130,0.5983591993224369
20,90,0.5981597998898368
165,200,0.5979607953075983
50,130,0.5977592241980096
30,110,0.5973681249148604
15,185,0.597269609749645
15,90,0.5971665538052716
25,130,0.5971655666793677
35,120,0.5969695234748411
80,180,0.596967746648214
55,130,0.5967671626645291
60,130,0.5967649909875405
55,125,0.5961715308940795
110,175,0.5961697540674523
155,195,0.5959748954140105
105,200,0.5959741057132873
25,190,0.5958789467761455
30,120,0.5955772810998952
10,25,0.5951670315742092
80,175,0.5949806622035414
90,180,0.5947814601961222
15,55,0.5947784988184103
20,185,0.5946874858100653
25,85,0.5945864041174996
60,125,0.5945822581887029
120,145,0.5945792968109911
120,135,0.5945790993858102
15,30,0.5945715972289402
25,95,0.5943860175589956
75,145,0.5943814767798374
80,150,0.594380884504295
30,115,0.593791175489269
65,145,0.5935878275530532
60,145,0.5933900075218993
20,85,0.5931941617425537
85,155,0.593189028687853
45,100,0.5929965391365807
75,170,0.5929945648847728
45,145,0.592600306798731
90,185,0.5925975428461998
90,175,0.5925965557202959
15,180,0.5923045638779044
35,200,0.592303971602362
85,175,0.5921997311069038
105,185,0.5921991388313614
30,130,0.5920005290994845
65,160,0.5918038936194157
85,150,0.5917979708639918
25,45,0.5917940223603759
15,45,0.5915967946047647
75,160,0.5908076861571386
15,65,0.5906126300785159
75,150,0.5906080892993578
15,40,0.5906035485201995
60,140,0.5904100718430233
25,200,0.5903178742835934
60,105,0.590209093008977
25,40,0.5900049553720378
115,175,0.5896255041745555
95,175,0.5896166200414198
95,165,0.5896146457896119
20,180,0.5895238302064476
